pct,org_code,org_name,org_type,chem_sub,bnf_name,quantity_per_item,jan_2020_items,jan_2021_items
704,704,LONDON BOROUGH OF HACKNEY,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,2,0
NKI,NKI,TURNING POINT,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,10,5
15M,15M,NHS DERBY AND DERBYSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,4,0
05C,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,1,1
03F,03F,NHS HULL CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,1,1
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,1,1
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,1,2
313,313,WIGAN METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,5,1
RXE,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,2,2
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,2,0
08C,W2U3Z,NHS NORTH WEST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,0,2
13T,13T,NHS NEWCASTLE GATESHEAD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,0,1
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,1,1
00Q,00Q,NHS BLACKBURN WITH DARWEN CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml mixture,195.0,2,1
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,2,0
11X,11X,NHS SOMERSET CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,1,0
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,2
03R,03R,NHS WAKEFIELD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,5,6
03N,03N,NHS SHEFFIELD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,8,1
RLY,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,3,2
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,11,26
26A,26A,NHS NORFOLK AND WAVENEY CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,1,0
DMH,DMH,FRAMEWORK,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml mixture,195.0,1,0
01H,01H,NHS NORTH CUMBRIA CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,0,1
03N,03N,NHS SHEFFIELD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,4,3
RXE,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Physeptone 1mg/ml mixture,195.0,0,2
106,106,GATESHEAD METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,1,0
218,218,NORTH YORKSHIRE COUNTY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,0,1
18C,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,0
02Y,02Y,NHS EAST RIDING OF YORKSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,0
05L,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,1,0
RA9,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,2,0
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,0,4
114,114,STOCKTON-ON-TEES BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,0
107,107,NEWCASTLE CITY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 10mg/ml oral solution sugar free,195.0,1,0
NKI,NKI,TURNING POINT,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,1,0
91Q,91Q,NHS KENT AND MEDWAY CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,1,0
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,0
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,0,2
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,0
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,0,4
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,1,0
AJ6,AJ6,HUMANKIND,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,0,2
310,310,STOCKPORT METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,0,1
01J,01J,NHS KNOWSLEY CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,1,0
15N,15N,NHS DEVON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,3,2
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,0,1
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,5
DG3,DG3,THE FORWARD TRUST,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,1
18C,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,0,1
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,2,1
116,116,DURHAM COUNTY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,1
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,0,7
DWA,DWA,EDP DRUG AND ALCOHOL SERVICES,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,0,1
93C,93C,NHS NORTH CENTRAL LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,0,2
NI3,NI3,WE ARE WITH YOU,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,4,6
02P,02P,NHS BARNSLEY CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,0
DEC,DEC,THE SOCIETY OF ST JAMES,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,2,1
DLA,DLA,CRANSTOUN,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,195.0,0,1
08V,A3A8R,NHS NORTH EAST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,2,0
NI3,NI3,WE ARE WITH YOU,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,6,2
310,310,STOCKPORT METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,0,1
01F,01F,NHS HALTON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml mixture,195.0,4,3
14L,14L,NHS MANCHESTER CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,2,0
06N,06N,NHS HERTS VALLEYS CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,195.0,0,1
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,13,7
05X,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG",CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,195.0,1,0
06H,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,1,0
11J,11J,NHS DORSET CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,4,0
08G,W2U3Z,NHS NORTH WEST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,4,5
DLA,DLA,CRANSTOUN,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,6,6
DWA,DWA,EDP DRUG AND ALCOHOL SERVICES,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,1,0
NI3,117,DARLINGTON BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,0,3
107,107,NEWCASTLE CITY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 10mg/ml oral solution sugar free,196.0,1,2
13T,13T,NHS NEWCASTLE GATESHEAD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,3,0
NKI,NKI,TURNING POINT,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,8,10
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,11,13
DEC,DEC,THE SOCIETY OF ST JAMES,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,0,2
01Y,01Y,NHS TAMESIDE AND GLOSSOP CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,0,2
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,196.0,0,1
218,218,NORTH YORKSHIRE COUNTY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,0,5
DLA,DLA,CRANSTOUN,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,2
03R,03R,NHS WAKEFIELD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,2,0
NKI,NKI,TURNING POINT,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,10,13
106,106,GATESHEAD METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,0
212,212,LEEDS CITY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,8,2
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,3,1
01X,01X,NHS ST HELENS CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,0,2
13T,13T,NHS NEWCASTLE GATESHEAD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,4,2
01K,01K,NHS MORECAMBE BAY CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,2,2
310,310,STOCKPORT METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,2,0
08V,A3A8R,NHS NORTH EAST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,1,2
116,116,DURHAM COUNTY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,8,4
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,5,1
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,3,3
97R,97R,NHS EAST SUSSEX CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,3,0
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,0,2
09D,09D,NHS BRIGHTON AND HOVE CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,1,0
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,8,25
01G,01G,NHS SALFORD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,4,6
15M,15M,NHS DERBY AND DERBYSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,0,1
RXE,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,7,7
RX4,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,4
AKQ,AKQ,DELPHI MEDICAL LTD,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,1,3
AJ6,AJ6,HUMANKIND,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,0,4
15A,15A,NHS BERKSHIRE WEST CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,2,1
00N,00N,NHS SOUTH TYNESIDE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,0,1
00Q,00Q,NHS BLACKBURN WITH DARWEN CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,3,1
RLY,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,3,1
00T,00T,NHS BOLTON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,2,0
322,322,WARRINGTON BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,3,2
NI3,NI3,WE ARE WITH YOU,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,6,1
NI3,NI3,WE ARE WITH YOU,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,8,8
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,1,3
01H,01H,NHS NORTH CUMBRIA CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,1
RA9,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,0,1
05C,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,1,0
107,107,NEWCASTLE CITY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,2
AKQ,AKQ,DELPHI MEDICAL LTD,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,0
117,117,DARLINGTON BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,26,28
07W,W2U3Z,NHS NORTH WEST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,0
03H,03H,NHS NORTH EAST LINCOLNSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,1
99A,99A,NHS LIVERPOOL CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,0
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,3,0
08M,A3A8R,NHS NORTH EAST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,0,2
09A,W2U3Z,NHS NORTH WEST LONDON CCG,CCG,Methadone hydrochloride,Methadone 10mg/ml oral solution sugar free,196.0,2,0
08V,A3A8R,NHS NORTH EAST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,3
03N,03N,NHS SHEFFIELD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,6,10
10Q,10Q,NHS OXFORDSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,3,2
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,2,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml mixture,196.0,4,5
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,0,2
NR5,NR5,LIVEWELL SOUTHWEST,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,1
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,2
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,1,0
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,3,2
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,0,3
15M,15M,NHS DERBY AND DERBYSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,5,0
99A,99A,NHS LIVERPOOL CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,2,3
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,1,4
03F,03F,NHS HULL CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,4,4
DWA,DWA,EDP DRUG AND ALCOHOL SERVICES,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,0,2
615,615,WEST BERKSHIRE COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,0,2
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,7,5
03N,03N,NHS SHEFFIELD CCG,CCG,Methadone hydrochloride,Methadone 10mg/ml oral solution sugar free,196.0,1,0
03N,03N,NHS SHEFFIELD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,8,2
DEC,DEC,THE SOCIETY OF ST JAMES,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,2
26A,26A,NHS NORFOLK AND WAVENEY CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,5,0
15N,15N,NHS DEVON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,6,3
52R,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,CCG,Buprenorphine hydrochloride,Subutex 0.4mg sublingual tablets,196.0,1,1
DG3,DG3,THE FORWARD TRUST,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,3,6
216,216,NORTH EAST LINCOLNSHIRE COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,3,0
06T,06T,NHS NORTH EAST ESSEX CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,0,4
AKV,AKV,SWANSWELL CHARITABLE TRUST,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,2,0
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,2
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,2
AJ6,AJ6,HUMANKIND,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,0,3
07T,A3A8R,NHS NORTH EAST LONDON CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,2,0
02Y,02Y,NHS EAST RIDING OF YORKSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,4,1
14L,14L,NHS MANCHESTER CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,2,0
06K,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,CCG,Buprenorphine hydrochloride,Subutex 0.4mg sublingual tablets,196.0,0,1
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml mixture,196.0,2,0
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,0
04C,04C,NHS LEICESTER CITY CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,2
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,1
DNE,DNE,COMPASS,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,1,0
05A,B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,0,2
11X,11X,NHS SOMERSET CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,2,0
116,116,DURHAM COUNTY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,1,0
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,3,5
92A,92A,NHS SURREY HEARTLANDS CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,5,0
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,1,6
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,196.0,3,1
06P,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,3,0
02P,02P,NHS BARNSLEY CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,6,10
03F,03F,NHS HULL CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,196.0,2,0
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,196.0,8,1
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",CCG,Methadone hydrochloride,Physeptone 1mg/ml mixture,196.0,4,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,198.0,3,2
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution,198.0,1,0
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,198.0,0,1
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,198.0,1,0
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,198.0,0,1
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,198.0,1,0
DNE,DNE,COMPASS,INDEP SECTOR,Methadone hydrochloride,Physeptone 1mg/ml oral solution sugar free,198.0,1,0
106,106,GATESHEAD METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,198.0,1,0
615,615,WEST BERKSHIRE COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,198.0,1,0
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,198.0,1,0
218,218,NORTH YORKSHIRE COUNTY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,198.0,0,1
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,198.0,1,3
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Methadone hydrochloride,Methadone 1mg/ml oral solution,198.0,1,0
